port_id,pso_lat,pso_lon
CNNGB,33.44402027,127.5172229
CNNGB,33.35305103,127.4048028
CNNGB,33.25614681,127.2830844
CNNGB,33.18030832,127.2068929
CNNGB,33.09710821,127.1043258
CNNGB,33.01888199,127.0070122
CNNGB,32.9143131,126.912345
CNNGB,32.81837973,126.8260983
CNNGB,32.72068608,126.7364325
CNNGB,32.62385522,126.6480214
CNNGB,32.53195321,126.5662459
CNNGB,32.43922691,126.4827443
CNNGB,32.34819404,126.3979793
CNNGB,32.30169221,126.3032855
CNNGB,32.25574987,126.2081831
CNNGB,32.2098891,126.1146217
CNNGB,32.16095634,126.0126803
CNNGB,32.11432604,125.9292193
CNNGB,32.04941768,125.8667722
CNNGB,31.97900042,125.8035976
CNNGB,31.91299764,125.735067
CNNGB,31.84938857,125.6697041
CNNGB,31.78084407,125.5987729
CNNGB,31.72017057,125.5333352
CNNGB,31.66077195,125.4677211
CNNGB,31.59125804,125.39022
CNNGB,31.53048244,125.321328
CNNGB,31.45672904,125.2379675
CNNGB,31.39316287,125.1657664
CNNGB,31.31955434,125.0790308
CNNGB,31.25145491,125.00077
CNNGB,31.17046022,124.9051824
CNNGB,31.09146374,124.8131455
CNNGB,31.01729099,124.7264378
CNNGB,30.94585231,124.6391304
CNNGB,30.87321389,124.5810781
CNNGB,30.8186021,124.5224693
CNNGB,30.74337526,124.4442184
CNNGB,30.67603533,124.3746461
CNNGB,30.60261896,124.2989209
CNNGB,30.54002596,124.2343235
CNNGB,30.47762708,124.1689935
CNNGB,30.41005052,124.1003771
CNNGB,30.33759639,124.0241315
CNNGB,30.24314895,123.9033378
CNNGB,30.1590176,123.7733866
CNNGB,30.10476416,123.640771
CNNGB,30.08535701,123.4893079
CNNGB,30.0615878,123.3794273
CNNGB,30.06920252,123.2917898
CNNGB,30.06467076,123.2663738
CNNGB,30.04348551,123.2429797
CNNGB,30.02136688,123.2197054
CNNGB,29.99953221,123.1958859
CNNGB,29.97737305,123.172818
CNNGB,29.95667541,123.1498058
CNNGB,29.9386146,123.1301879
CNNGB,29.91665431,123.1059028
CNNGB,29.88985792,123.0759129
CNNGB,29.87379203,123.0588946
CNNGB,29.8517483,123.034588
CNNGB,29.8309717,123.0122572
CNNGB,29.8069861,122.9881113
CNNGB,29.78828523,122.9726879
CNNGB,29.76278013,122.9454379
